id,term,name
,1,[[b;#fff;]//]
,2,"[[b;#fff;]/dev·nuhl/]"
,2,[[b;#fff;]n.]
,3,[[b;#fff;]//]
,5,[[b;#fff;]//]
,5,[[b;#fff;]n.]
,6,[[b;#fff;]infix.]
,7,[[b;#fff;]//]
,7,[[b;#fff;]n.]
,8,[[b;#fff;]adj.]
,9,"[[b;#fff;]/at´par`tee/]"
,9,[[b;#fff;]n.]
,10,"[[b;#fff;]/@·breev´/]"
,10,"[[b;#fff;]/@·brev´/]"
,10,[[b;#fff;]n.]
,11,"[[b;#fff;]/a´bend/]"
,11,"[[b;#fff;]/@·bend´/]"
,11,[[b;#fff;]n.]
,12,"[[b;#fff;]n. obs.]"
,13,[[b;#fff;]/ak/]
,13,[[b;#fff;]interj.]
,14,[[b;#fff;]n.]
,15,"[[b;#fff;]/ad·hok'@r·ee/]"
,15,[[b;#fff;]n.]
,16,[[b;#fff;]n.]
,17,"[[b;#fff;]/aj´r/]"
,17,[[b;#fff;]vt.]
,18,"[[b;#fff;]/ad·min´/]"
,18,[[b;#fff;]n.]
,19,"[[b;#fff;]/ad´vent/]"
,19,[[b;#fff;]n.]
,20,[[b;#fff;]n.]
,21,[[b;#fff;]//]
,21,[[b;#fff;]n.]
,22,[[b;#fff;]//]
,22,[[b;#fff;]n.]
,24,"[[b;#fff;]/A·I/]"
,24,[[b;#fff;]n.]
,25,"[[b;#fff;]/A·I k@m·pleet'/]"
,25,[[b;#fff;]adj.]
,26,[[b;#fff;]n.]
,27,[[b;#fff;]n.]
,28,[[b;#fff;]n.]
,29,[[b;#fff;]n.]
,30,[[b;#fff;]prov.]
,32,[[b;#fff;]n.]
,33,[[b;#fff;]n.]
,34,[[b;#fff;]/awlt/]
,35,"[[b;#fff;]/awlt bit/]"
,35,[[b;#fff;]adj.]
,36,[[b;#fff;]n.]
,37,"[[b;#fff;]/am·b@·mows´ter·us/]"
,37,"[[b;#fff;]/am·b@·mows´trus/]"
,37,[[b;#fff;]adj]
,38,[[b;#fff;]n]
,39,[[b;#fff;]n.]
,40,[[b;#fff;]vt.]
,41,[[b;#fff;]n.]
,43,[[b;#fff;]n.]
,43,"[[b;#fff;]/ang´band/]"
,44,[[b;#fff;]n.]
,45,[[b;#fff;]n.]
,46,"[[b;#fff;]/@·noy·bot/]"
,46,[[b;#fff;]n.]
,47,[[b;#fff;]n.]
,48,"[[b;#fff;]/an´see stan´d@rd/]"
,49,"[[b;#fff;]/an´see stan´d@rd peet´z@/]"
,50,[[b;#fff;]n.]
,51,[[b;#fff;]n.]
,52,[[b;#fff;]/ap/]
,52,[[b;#fff;]n.]
,54,[[b;#fff;]n.]
,55,[[b;#fff;]/arg/]
,55,[[b;#fff;]n.]
,56,[[b;#fff;]n.]
,57,[[b;#fff;]n.]
,58,[[b;#fff;]adj.]
,59,[[b;#fff;]n.]
,60,[[b;#fff;]n.]
,61,"[[b;#fff;]/as´kee/]"
,61,[[b;#fff;]n.]
,62,[[b;#fff;]n.]
,63,"[[b;#fff;]/as´kee·be'·t@·kl or´dr/]"
,63,"[[b;#fff;]adj.,n.]"
,64,[[b;#fff;]n.]
,65,[[b;#fff;]adj.]
,66,[[b;#fff;]n.]
,67,[[b;#fff;]n.]
,68,"[[b;#fff;]/A·U·P/]"
,69,"[[b;#fff;]/aw´toh·boh·got`@·foh´bee·@/]"
,71,"[[b;#fff;]/aw·toh·maj´i·klee/]"
,71,[[b;#fff;]adv.]
,72,[[b;#fff;]n.]
,73,[[b;#fff;]/awk/]
