id,term,def
,(TM),"[Usenet] ASCII rendition of the ™ appended to phrases that the author feels should be recorded for posterity, perhaps in future editions of this lexicon. Sometimes used ironically as a form of protest against the recent spate of software and algorithm patents and [[b;#fff;]look and feel] lawsuits. See also [[bu;#fff;;jargon]UN*X]."
,/dev/null,"[from the Unix null device, used as a data sink] A notional ‘black hole’ in any information space being discussed, used, or referred to. A controversial posting, for example, might end [[i;;]Kudos to rasputin@kremlin.org, flames to /dev/null]. See [[bu;#fff;;jargon]bit bucket]."
,/me,"[IRC; common] Under most IRC, /me is the [[i;;]pose] command; if you are logged on as Foonly and type [[i;;]/me laughs], others watching the channel will see [[i;;]* Joe Foonly laughs]. This usage has been carried over to mail and news, where the reader is expected to perform the same expansion in his or her head."
,0,"Numeric zero, as opposed to the letter ‘O’ (the 15th letter of the English alphabet). In their unmodified forms they look a lot alike, and various kluges invented to make them visually distinct have compounded the confusion. If your zero is center-dotted and letter-O is not, or if letter-O looks almost rectangular but zero looks more like an American football stood on end (or the reverse), you're probably looking at a modern character display (though the dotted zero seems to have originated as an option on IBM 3270 controllers). If your zero is slashed but letter-O is not, you're probably looking at an old-style ASCII graphic set descended from the default typewheel on the venerable ASR-33 Teletype (Scandinavians, for whom Ø is a letter, curse this arrangement). (Interestingly, the slashed zero long predates computers; Florian Cajori's monumental A History of Mathematical Notations notes that it was used in the twelfth and thirteenth centuries.) If letter-O has a slash across it and the zero does not, your display is tuned for a very old convention used at IBM and a few other early mainframe makers (Scandinavians curse [[b;#fff;]this] arrangement even more, because it means two of their letters collide). Some Burroughs/Unisys equipment displays a zero with a [[b;#fff;]reversed] slash. Old CDC computers rendered letter O as an unbroken oval and 0 as an oval broken at upper right and lower left. And yet another convention common on early line printers left zero unornamented but added a tail or hook to the letter-O so that it resembled an inverted Q or cursive capital letter-O (this was endorsed by a draft ANSI standard for how to draw ASCII characters, but the final standard changed the distinguisher to a tick-mark in the upper-left corner). Are we sufficiently confused yet?"
,1TBS,"The [[i;;]One True Brace Style]; see [[bu;#fff;;jargon]indent style]."
,2,"In translation software written by hackers, infix 2 often represents the syllable [[b;#fff;]to] with the connotation ‘translate to’: as in dvi2ps (DVI to PostScript), int2string (integer to string), and texi2roff (Texinfo to [nt]roff). Several versions of a joke have floated around the internet in which some idiot programmer fixes the Y2K bug by changing all the Y's in something to K's, as in Januark, Februark, etc."
,404,"[from the HTTP error [[i;;]file not found on server]] Extended to humans to convey that the subject has no idea or no clue -- sapience not found. May be used reflexively; [[i;;]Uh, I'm 404ing] means [[i;;]I'm drawing a blank]."
,"404 compliant","The status of a website which has been completely removed, usually by the administrators of the hosting site as a result of net abuse by the website operators. The term is a tongue-in-cheek reference to the standard [[i;;]301 compliant] Murkowski Bill disclaimer used by spammers. See also: [[bu;#fff;;jargon]spam], [[bu;#fff;;jargon]spamvertize]."
,@-party,"[from the @-sign in an Internet address] (alt.: ‘@-sign party’ [[b;#fff;]/at´si:n par`tee/]) A semi-closed party thrown for hackers at a science-fiction convention (esp. the annual World Science Fiction Convention or [[i;;]Worldcon]); one must have a [[bu;#fff;;jargon]network address] to get in, or at least be in company with someone who does. One of the most reliable opportunities for hackers to meet face to face with people who might otherwise be represented by mere phosphor dots on their screens. Compare [[bu;#fff;;jargon]boink].The first recorded @-party was held at the Westercon (a U.S. western regional SF convention) over the July 4th weekend in 1980. It is not clear exactly when the canonical @-party venue shifted to the Worldcon but it had certainly become established by Constellation in 1983. Sadly, the @-party tradition has been in decline since about 1996, mainly because having an @-address no longer functions as an effective lodge pin.We are informed, however, that rec.skydiving members have maintained a tradition of formation jumps in the shape of an @."
,abbrev,"Common abbreviation for ‘abbreviation’."
,ABEND,"[ABnormal END] 1. Abnormal termination (of software); [[bu;#fff;;jargon]crash]; [[bu;#fff;;jargon]lossage]. Derives from an error message on the IBM 360; used jokingly by hackers but seriously mainly by [[bu;#fff;;jargon]code grinder]s. Usually capitalized, but may appear as ‘abend’. Hackers will try to persuade you that ABEND is called [[b;#fff;]abend] because it is what system operators do to the machine late on Friday when they want to call it a day, and hence is from the German Abend = ‘Evening’. 2. [alt.callahans] Absent By Enforced Net Deprivation — used in the subject lines of postings warning friends of an imminent loss of Internet access. (This can be because of computer downtime, loss of provider, moving or illness.) Variants of this also appear: ABVND = ‘Absent By Voluntary Net Deprivation’ and ABSEND = ‘Absent By Self-Enforced Net Deprivation’ have been sighted."
,accumulator,"1. Archaic term for a register. On-line use of it as a synonym for [[b;#fff;]register] is a fairly reliable indication that the user has been around for quite a while and/or that the architecture under discussion is quite old. The term in full is almost never used of microprocessor registers, for example, though symbolic names for arithmetic registers beginning in ‘A’ derive from historical use of the term [[b;#fff;]accumulator] (and not, actually, from ‘arithmetic’). Confusingly, though, an ‘A’ register name prefix may also stand for [[b;#fff;]address], as for example on the Motorola 680x0 family. 2. A register being used for arithmetic or logic (as opposed to addressing or a loop index), especially one being used to accumulate a sum or count of many items. This use is in context of a particular routine or stretch of code. [[i;;]The FOOBAZ routine uses A3 as an accumulator.] 3. One's in-basket (esp. among old-timers who might use sense 1). [[i;;]You want this reviewed? Sure, just put it in the accumulator.] (See [[bu;#fff;;jargon]stack].)"
,ACK,"1. [common; from the ASCII mnemonic for 0000110] Acknowledge. Used to register one's presence (compare mainstream [[b;#fff;]Yo!]). An appropriate response to [[bu;#fff;;jargon]ping] or [[bu;#fff;;jargon]ENQ]. 2. [from the comic strip Bloom County] An exclamation of surprised disgust, esp. in [[i;;]Ack pffft!] Semi-humorous. Generally this sense is not spelled in caps (ACK) and is distinguished by a following exclamation point. 3. Used to politely interrupt someone to tell them you understand their point (see [[bu;#fff;;jargon]NAK]). Thus, for example, you might cut off an overly long explanation with [[i;;]Ack. Ack. Ack. I get it now]. 4. An affirmative. [[i;;]Think we ought to ditch that damn NT server for a Linux box?] [[i;;]ACK!]There is also a usage [[i;;]ACK?] (from sense 1) meaning [[i;;]Are you there?], often used in email when earlier mail has produced no reply, or during a lull in [[bu;#fff;;jargon]talk mode] to see if the person has gone away (the standard humorous response is of course [[bu;#fff;;jargon]NAK], i.e., [[i;;]I'm not here])."
,Acme,"[from Greek akme highest point of perfection or achievement] The canonical supplier of bizarre, elaborate, and non-functional gadgetry — where Rube Goldberg and Heath Robinson (two cartoonists who specialized in elaborate contraptions) shop. The name has been humorously expanded as A (or American) Company Making Everything. (In fact, Acme was a real brand sold from Sears Roebuck catalogs in the early 1900s.) Describing some X as an [[i;;]Acme X] either means [[i;;]This is insanely great], or, more likely, [[i;;]This looks insanely great on paper, but in practice it's really easy to shoot yourself in the foot with it.] Compare [[bu;#fff;;jargon]pistol].This term, specially cherished by American hackers and explained here for the benefit of our overseas brethren, comes from the Warner Brothers' series of [[i;;]Road-runner] cartoons. In these cartoons, the famished Wile E. Coyote was forever attempting to catch up with, trap, and eat the Road-runner. His attempts usually involved one or more high-technology Rube Goldberg devices — rocket jetpacks, catapults, magnetic traps, high-powered slingshots, etc. These were usually delivered in large wooden crates labeled prominently with the Acme name — which, probably not by coincidence, was the trade name of a peg bar system for superimposing animation cels used by cartoonists since forever. Acme devices invariably malfunctioned in improbable and violent ways."
,ad-hockery,"[Purdue] 1. Gratuitous assumptions made inside certain programs, esp. expert systems, which lead to the appearance of semi-intelligent behavior but are in fact entirely arbitrary. For example, fuzzy-matching of input tokens that might be typing errors against a symbol table can make it look as though a program knows how to spell. 2. Special-case code to cope with some awkward input that would otherwise cause a program to [[bu;#fff;;jargon]choke], presuming normal inputs are dealt with in some cleaner and more regular way.Also called [[b;#fff;]ad-hackery], [[b;#fff;]ad-hocity] ([[b;#fff;]/ad-hos'@-tee/]), [[b;#fff;]ad-crockery]. See also [[bu;#fff;;jargon]ELIZA effect]."
,"address harvester","A robot that searches web pages and/or filters netnews traffic looking for valid email addresses. Some address harvesters are benign, used only for compiling address directories. Most, unfortunately, are run by miscreants compiling address lists to [[bu;#fff;;jargon]spam]. Address harvesters can be foiled by a [[bu;#fff;;jargon]teergrube]."
,adger,"[UCLA mutant of [[bu;#fff;;jargon]nadger], poss. also from the middle name of an infamous [[bu;#fff;;jargon]tenured graduate student]] To make a bonehead move with consequences that could have been foreseen with even slight mental effort. E.g., [[i;;]He started removing files and promptly adgered the whole project]. Compare [[bu;#fff;;jargon]dumbass attack]."
,admin,"Short for ‘administrator’; very commonly used in speech or on-line to refer to the systems person in charge on a computer. Common constructions on this include [[b;#fff;]sysadmin] and [[b;#fff;]site admin] (emphasizing the administrator's role as a site contact for email and news) or [[b;#fff;]newsadmin] (focusing specifically on news). Compare [[bu;#fff;;jargon]postmaster], [[bu;#fff;;jargon]sysop], [[bu;#fff;;jargon]system mangler]."
