id,term,name
,1,//
,2,"/dev·nuhl/"
,2,n.
,3,//
,5,//
,5,n.
,6,infix.
,7,//
,7,n.
,8,adj.
,9,"/at´par`tee/"
,9,n.
,10,"/@·breev´/"
,10,"/@·brev´/"
,10,n.
,11,"/a´bend/"
,11,"/@·bend´/"
,11,n.
,12,"n. obs."
,13,/ak/
,13,interj.
,14,n.
,15,"/ad·hok'@r·ee/"
,15,n.
,16,n.
,17,"/aj´r/"
,17,vt.
,18,"/ad·min´/"
,18,n.
,19,"/ad´vent/"
,19,n.
,20,n.
,21,//
,21,n.
,22,//
,22,n.
,24,"/A·I/"
,24,n.
,25,"/A·I k@m·pleet'/"
,25,adj.
,26,n.
,27,n.
,28,n.
,29,n.
,30,prov.
,32,n.
,33,n.
,34,/awlt/
,35,"/awlt bit/"
,35,adj.
,36,n.
,37,"/am·b@·mows´ter·us/"
,37,"/am·b@·mows´trus/"
,37,adj
,38,n
,39,n.
,40,vt.
,41,n.
,43,n.
,43,"/ang´band/"
,44,n.
,45,n.
,46,"/@·noy·bot/"
,46,n.
,47,n.
,48,"/an´see stan´d@rd/"
,49,"/an´see stan´d@rd peet´z@/"
,50,n.
,51,n.
,52,/ap/
,52,n.
,54,n.
,55,/arg/
,55,n.
,56,n.
,57,n.
,58,adj.
,59,n.
,60,n.
,61,"/as´kee/"
,61,n.
,62,n.
,63,"/as´kee·be'·t@·kl or´dr/"
,63,"adj.,n."
,64,n.
,65,adj.
,66,n.
,67,n.
,68,"/A·U·P/"
,69,"/aw´toh·boh·got`@·foh´bee·@/"
,71,"/aw·toh·maj´i·klee/"
,71,adv.
,72,n.
,73,/awk/
,74,/bif/
,74,BIFF
,74,n.
,75,//
,76,n.
,77,n.
,78,"n.,obs."
,80,"n.,adj.,vt."
,81,n.
,82,n.
,83,"/bak´w@rd k@m·bat'@·bil'@·tee/"
,83,n.
,84,"/B·A·D/"
,84,adj.
,85,adj.
,86,n.
,87,n.
,88,"/bag´bi:t·@r/"
,88,n.
,89,adj.
,90,v.
,91,n.
,92,/bamf/
,93,n.
,94,n.
,96,vt.
,97,n.
,98,n.
,99,n.
,100,n.
,101,/bar/
,101,n.
,102,n.
,103,/barf/
,103,"n.,v."
,104,n.
,105,"/bar`fyoo·lay´sh@n/"
,105,interj.
,106,"/bar´fyoo·l@s/"
,106,adj.
,107,n.
,108,n.
,109,adj.
,110,"/bay'·sic/"
,110,n.
,111,n.
,112,adj.
,113,n.
,114,n.
,115,/bawd/
,115,n.
,116,/baz/
,116,n.
,117,"n.,adj."
,118,"/bee´bord/"
,118,n.
,119,"/B·B·S/"
,119,n.
,120,//
,120,n.
,122,vt.
,123,n.
,124,"n.,v."
,125,n.
,126,n.
,127,n.
,128,n.
,129,n.
,130,adj.
,131,"/b@r·zer´klee/"
,131,n.
,132,"/bay´t@/"
,132,"/be´t@/"
,132,"/bee´t@/"
,132,n.
,133,"/B·F·I/"
,133,n.
,134,//
,135,n.
,136,n.
,137,/bif/
,137,vt.
,138,n.
,139,n.
,140,n.
,141,n.
,142,adj.
,143,"/big´nuhm/"
,143,n.
,144,n.
,146,n.
,147,n.
,148,n.
,149,n.
,150,n.
,151,n.
,152,n.
,153,n.
,154,"n.,obs."
,155,"/bit´blit/"
,155,n.
,156,pl.n.
,157,"/bit´ee boks/"
,157,n.
,158,"/bik´see/"
,158,n.
,159,n.
,161,"n.,vt."
,162,n.
,164,v.
,165,/blarg/
,165,n.
,167,n.
,168,/blech/
,168,interj.
,169,"/blech'@·r@s/"
,169,adj.
,170,"/blink'@n·li:tz/"
,170,n.
,171,/blit/
,171,vt.
,172,"/blit´r/"
,172,n.
,173,"/bliv'@t/"
,173,n.
,174,n.
,176,v.
,177,n.
,178,n.
,181,"/bloh @n ee´prom/"
,181,v.
,182,vt.
,183,vi.
,184,vt.
,185,vi.
,186,"/B·L·T/"
,186,/bl@t/
,186,/belt/
,186,"n.,vt."
,188,n.
,189,n.
,190,n.
,191,n.
,192,"/bler´gl/"
,192,n.
,193,"/B·N·F/"
,193,n.
,194,n.
,195,n.
,196,n.
,197,n.
,199,"/B·O·F/"
,199,/bof/
,199,n.
,200,//
,200,n.
,201,"/boh`goh·sort´/"
,201,n.
,202,"/boh·gom'·@t·er/"
,202,n.
,203,"/bo´go·mips/"
,203,n.
,204,"/boh´gon/"
,204,n.
,205,"/boh´gon fil'tr/"
,205,n.
,206,"/boh´gon fluhks/"
,206,n.
,207,"/boh·go´s@·tee/"
,207,n.
,208,"/boh·go´t@·fi:/"
,208,vt.
,209,"/bohg owt/"
,209,vi.
,210,adj.
,211,"/bohr buhg/"
,211,n.
,212,/boynk/
,214,n.
,215,/bonk/
,215,/oyf/
,215,interj.
,217,"v.,n."
,218,n.
,219,adj.
,220,n
,221,n.
,222,v.
,223,n.
,224,v.
,225,n.
,226,n.
,227,n.
,228,n.
,229,"/bok´sn/"
,229,pl.n.
,230,"/bok·sol'@·jee/"
,230,n.
,231,"/boh·zoh´tik/"
,231,"/boh·zo´tik/"
,231,adj.
,232,n.
,233,n.
,234,adj.
,235,adj.
,236,"/bray´no/"
,236,n.
,237,n.
,238,n.
,240,n.
,241,n.
,242,n.
,243,"/bri:d´bart ind@ks/"
,244,n.
,246,v.
,247,adj.
,248,n.
,249,adj.
,250,n.
,252,n.
,253,"/broh´k@t/"
,253,"/broh´ket`/"
,253,n.
,254,prov.
,255,n.
,256,n.
,257,"/B·R·S/"
,257,n.
,258,adj.
,259,n.
,260,"/B·S·D/"
,260,n.
,261,"/B·S·O·D/"
,262,//
,262,n.
,263,//
,263,n.
,264,n.
,265,"/buh´kee bits/"
,265,n.
,266,n.
,267,n.
,268,n.
,269,adj.
,270,n.
,271,n.
,272,adj.
,273,"/bul´shilt/"
,273,n.
,274,vt.
,275,v.
,276,n.
,277,v.
,278,n.
,279,n.
,280,vi.
,281,vi.
,283,"/B·W·Q/"
,283,n.
,284,adv.
,285,/bi:t/
,285,n.
,286,n.
